"name","wikidata","commons","website","image","link_commons","link_de","link_en","link_fr","link_count","long","lat","timestamp"
"Musée valaisan de la vigne et du vin","Q27488843",,"http://www.museevalaisanduvin.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Sierre%20-%20Mus%C3%A9e%20de%20la%20vigne%20et%20du%20vin.jpg",,,,,6,"7.52149","46.29373",2020-01-13 11:52:05
"Valais Art Museum","Q27488911","Musée d'art du Valais","http://www.musees-valais.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20d%27art%20de%20Sion.jpg","https://commons.wikimedia.org/wiki/Category:Mus%C3%A9e_d%27art_du_Valais","https://fr.wikipedia.org/wiki/Mus%C3%A9e_d%27Art_du_Valais",,,0,"7.3938","46.2304",2020-01-13 11:52:05
"Catholic Church. Diocese of Sion","Q27488913",,"http://www.cath-vs.ch",,,,,,4,"7.35825","46.23362",2020-01-13 11:52:05
"Valais History Museum","Q27488915","Valais History Museum","http://www.musees-valais.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Kulturhistorisches%20Museum%202013-09-19%2011-50-09.jpg","https://commons.wikimedia.org/wiki/Category:Valais_History_Museum",,,,9,"7.36182","46.23415",2020-01-13 11:52:05
"Heimatmuseum Sissach","Q27488920",,"http://www.museum-sissach.ch/","http://commons.wikimedia.org/wiki/Special:FilePath/Sissach-Heimatmuseum.jpg",,,,,11,"7.81006","47.4639",2020-01-13 11:52:05
"Domschatz","Q27488930",,,,,,,,10,"7.539673352","47.208450752",2020-01-13 11:52:05
"Kosciuszko-Museum in Solothurn","Q27488938",,"http://kosciuszkomuseum.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Kosciuszko%20plaque%2C%20Solothurn.JPG","https://commons.wikimedia.org/wiki/Category:Kosciuszko_Museum",,,,11,"7.536346261","47.208030864",2020-01-13 11:52:05
"Puppen- und Spielzeugmuseum","Q27488942",,"http://www.puppen-spielzeug-museum.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Solothurn%20Puppenmuseum.JPG",,,,,12,"7.539526215","47.207425478",2020-01-13 11:52:05
"Botanical Garden St. Gallen","Q27488965","Botanischer Garten St. Gallen","http://www.botanischergarten.stadt.sg.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Botanischer%20Garten%20St.%20Gallen%201992.jpg","https://commons.wikimedia.org/wiki/Category:Botanischer_Garten_St._Gallen","https://de.wikipedia.org/wiki/Botanischer_Garten_St._Gallen","https://en.wikipedia.org/wiki/Botanical_Garden_St._Gallen",,8,"9.407532","47.439876",2020-01-13 11:52:05
"Museum im Lagerhaus","Q27488983","Lagerhaus Museum, St. Gallen","http://www.museumimlagerhaus.ch/en/","http://commons.wikimedia.org/wiki/Special:FilePath/Lagerhaus%20Museum%20St%20Gallen%20May%202011%20ShiftN.jpg","https://commons.wikimedia.org/wiki/Category:Lagerhaus_Museum,_St._Gallen","https://de.wikipedia.org/wiki/Museum_im_Lagerhaus",,,12,"9.366907","47.42048",2020-01-13 11:52:05
